modelo,conjunto_atributos,ano_teste,data_referencia,municipio,y_real,y_pred
DummyMedia,calendario,2023,2023-04-01,ararangua,10,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,ararangua,10,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,ararangua,7,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,ararangua,9,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,ararangua,12,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,ararangua,17,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,ararangua,11,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,ararangua,13,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,ararangua,9,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,ascurra,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,ascurra,4,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,ascurra,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,ascurra,2,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,ascurra,5,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,ascurra,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,ascurra,3,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,balneario barra do sul,1,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,balneario barra do sul,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,balneario camboriu,28,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,balneario camboriu,27,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,balneario camboriu,25,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,balneario camboriu,29,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,balneario camboriu,29,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,balneario camboriu,32,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,balneario camboriu,29,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,balneario camboriu,30,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,balneario camboriu,33,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,balneario camboriu,22,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,balneario camboriu,27,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,balneario camboriu,30,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,balneario picarras,4,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,balneario picarras,5,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,balneario picarras,4,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,balneario picarras,2,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,balneario picarras,3,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,balneario picarras,7,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,balneario picarras,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,balneario picarras,5,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,balneario picarras,4,4.982283464566929
