modelo,conjunto_atributos,MAE_medio,MAE_std,RMSE_medio,MAPE_medio_sem_zeros,WAPE_medio,R2_medio
RandomForest,calendario_lags_municipio,1.7563818033594318,0.06302265227187534,2.7643492776831153,50.93520422607071,32.60428390055822,0.9057057529630124
RandomForest,completo_historico,1.7638408932111858,0.07713758633492268,2.7495485827987487,51.98224734174619,32.73207892856232,0.9067302914326363
RandomForest,calendario_lags,1.769741363078289,0.07421615541900782,2.78194505930839,52.06127953925913,32.85463816654182,0.9044536397335936
Ridge,calendario_lags_municipio,1.7984910812917674,0.11254783322002791,2.8155728787862726,52.72035631299647,33.44895376110562,0.9017150031054951
Ridge,completo_historico,1.8052587904564255,0.08394178021209399,2.8240079194427157,52.710029807445494,33.561243196617106,0.9013186924580214
Ridge,calendario_lags,1.840720970680781,0.1612350949320238,2.8519028817150143,54.86119086128517,34.25510815076001,0.8988941794667173
HistGradientBoosting,completo_historico,1.8847004847048385,0.10250583510087573,3.0240324703177732,53.11556458395401,35.03139736902929,0.8865086556301789
HistGradientBoosting,calendario_lags,1.896462621312247,0.10303924426993455,3.074931771815489,52.82313670726259,35.24071743483092,0.8829006387987703
HistGradientBoosting,calendario_lags_municipio,1.8965006656868617,0.08990106762308733,3.046125694161567,53.17793790379649,35.246530670983475,0.884958208463645
NaiveUltimoMes,lag_1m_direto,2.214796587926509,0.15514558229327133,3.535037674727259,68.35348942946028,41.07375663527379,0.8453893848982948
Poisson,calendario_lags_municipio,2.4835009096263136,0.06402390480821134,4.147808424129131,55.8326640537299,46.108509591348025,0.7852888838759988
Poisson,completo_historico,2.5897804820179173,0.08180930829037755,4.875825202736456,55.31340632954332,48.07503671278633,0.7045911535081198
Poisson,calendario_lags,3.379440083720529,0.11210323066229029,6.636279334539765,72.22697449026761,62.71305648002142,0.4558944995549041
DummyMedia,calendario,5.12799223075298,0.11053227021200829,9.013241364969751,133.54689114519152,95.18221723137744,-0.0010627791577643708
DummyMedia,calendario_lags,5.12799223075298,0.11053227021200829,9.013241364969751,133.54689114519152,95.18221723137744,-0.0010627791577643708
DummyMedia,calendario_lags_municipio,5.12799223075298,0.11053227021200829,9.013241364969751,133.54689114519152,95.18221723137744,-0.0010627791577643708
DummyMedia,completo_historico,5.12799223075298,0.11053227021200829,9.013241364969751,133.54689114519152,95.18221723137744,-0.0010627791577643708
HistGradientBoosting,calendario,5.211827432344628,0.16495178564710164,9.014446155220464,138.83449147991286,96.72023267135876,-0.0013485087686348762
RandomForest,calendario,5.223450153551491,0.11312841210650512,9.01135948194752,140.04793667665336,96.96082316298964,-0.0006587384014838937
Poisson,calendario,5.31373898504788,0.05349813224713819,9.01402860687951,146.07187013646745,98.67733524485948,-0.001286489162200366
Ridge,calendario,5.322938303373947,0.04517827881120221,9.015051454492335,146.6934999735941,98.86023167866583,-0.0015264209608672474
