modelo,conjunto_atributos,ano_teste,n_treino,n_teste,MAE,RMSE,MAPE_%_sem_zeros,WAPE_%,R2
RandomForest,calendario_lags,2025,4572,1524,1.751181486116207,2.8062218245803936,50.46067406550292,32.602010564880274,0.9017266429283233
RandomForest,calendario_lags,2026,6096,635,1.8748224449963613,3.036180659488088,52.63218639958117,33.64930052494883,0.8927573231675117
HistGradientBoosting,calendario_lags,2023,1524,1524,1.9858585781068416,3.0839676576192274,61.13990176297288,38.805596525642095,0.8710908177173177
HistGradientBoosting,calendario_lags,2024,3048,1524,1.7834041327916155,2.853567829616773,48.24840898186482,32.42939862038446,0.9042306046136036
HistGradientBoosting,calendario_lags,2025,4572,1524,1.8348179014468518,3.0474722004922423,49.55052815787888,34.15908235774496,0.884103238288325
HistGradientBoosting,calendario_lags,2026,6096,635,1.981769872903679,3.3147193995337134,52.35370792633379,35.56879223555217,0.8721778945758348
DummyMedia,calendario_lags_municipio,2023,1524,1524,4.985783888234443,8.59056358573554,133.10591328173768,97.42703738516849,-0.00024764452480741106
DummyMedia,calendario_lags_municipio,2024,3048,1524,5.175203739296368,9.231880521065897,132.51730503935036,94.10584057615637,-0.0023760827102126125
DummyMedia,calendario_lags_municipio,2025,4572,1524,5.1058924803034795,8.953317253095756,135.15188638464986,95.05717248940266,-0.0003678905788171427
DummyMedia,calendario_lags_municipio,2026,6096,635,5.24508881517763,9.27720409998181,133.4124598750282,94.13881847478223,-0.001259498817220317
Ridge,calendario_lags_municipio,2023,1524,1524,1.958150162392836,2.9069749732613763,62.48912397686556,38.264147294354174,0.8854627347261084
Ridge,calendario_lags_municipio,2024,3048,1524,1.713327869490933,2.645625063680071,48.36001608359652,31.155132718102635,0.9176797012800226
Ridge,calendario_lags_municipio,2025,4572,1524,1.726012249733542,2.7496917070350766,49.19062985665526,32.1334310847046,0.9056461112870076
Ridge,calendario_lags_municipio,2026,6096,635,1.7964740435497584,2.9599997711685657,50.84165533486856,32.24310394726107,0.8980714651288418
Poisson,calendario_lags_municipio,2023,1524,1524,2.4726418004220787,4.5176090846115144,53.333475658378816,48.317811307132295,0.7233813101916795
